clics_db_id,dependent_id,product_id,group_policy_cluster_product_id,coverage_amount,effective_date
124,31,27,3,0.00,2019-03-01
125,32,24,1,0.00,2019-03-01
126,32,25,2,0.00,2019-03-01
127,32,26,4,0.00,2019-03-01
128,32,27,3,0.00,2019-03-01
129,33,24,1,0.00,2019-03-01
130,33,25,2,0.00,2019-03-01
131,33,26,4,0.00,2019-03-01
132,33,27,3,0.00,2019-03-01
133,34,24,1,0.00,2019-03-01
134,34,25,2,0.00,2019-03-01
135,34,26,4,0.00,2019-03-01
136,34,27,3,0.00,2019-03-01
137,35,24,1,0.00,2019-03-01
138,35,25,2,0.00,2019-03-01
139,35,26,4,0.00,2019-03-01
140,35,27,3,0.00,2019-03-01
141,36,24,1,0.00,2019-03-01
142,36,25,2,0.00,2019-03-01
143,36,26,4,0.00,2019-03-01
144,36,27,3,0.00,2019-03-01
145,37,24,1,0.00,2019-03-01
146,37,25,2,0.00,2019-03-01
147,37,26,4,0.00,2019-03-01
148,37,27,3,0.00,2019-03-01
149,38,24,1,0.00,2019-03-01
150,38,25,2,0.00,2019-03-01
151,38,26,4,0.00,2019-03-01
152,38,27,3,0.00,2019-03-01
153,39,24,1,0.00,2019-03-01
154,39,25,2,0.00,2019-03-01
155,39,26,4,0.00,2019-03-01
156,39,27,3,0.00,2019-03-01
157,40,24,1,0.00,2019-03-01
158,40,25,2,0.00,2019-03-01
159,40,26,4,0.00,2019-03-01
160,40,27,3,0.00,2019-03-01
161,41,24,1,0.00,2019-03-01
162,41,25,2,0.00,2019-03-01
163,41,26,4,0.00,2019-03-01
164,41,27,3,0.00,2019-03-01
165,42,24,1,0.00,2019-03-01
166,42,25,2,0.00,2019-03-01
167,42,26,4,0.00,2019-03-01
168,42,27,3,0.00,2019-03-01
169,43,24,1,0.00,2019-03-01
170,43,25,2,0.00,2019-03-01
171,43,26,4,0.00,2019-03-01
172,43,27,3,0.00,2019-03-01
173,44,24,1,0.00,2019-03-01
174,44,25,2,0.00,2019-03-01
175,44,26,4,0.00,2019-03-01
176,44,27,3,0.00,2019-03-01
177,45,24,1,0.00,2019-03-01
178,45,25,2,0.00,2019-03-01
179,45,26,4,0.00,2019-03-01
180,45,27,3,0.00,2019-03-01
181,46,24,1,0.00,2019-03-01
182,46,25,2,0.00,2019-03-01
183,46,26,4,0.00,2019-03-01
184,46,27,3,0.00,2019-03-01
185,47,24,1,0.00,2019-03-01
186,47,25,2,0.00,2019-03-01
187,47,26,4,0.00,2019-03-01
188,47,27,3,0.00,2019-03-01
189,48,24,1,0.00,2019-04-12
190,48,25,2,0.00,2019-04-12
191,48,26,4,0.00,2019-04-12
192,48,27,3,0.00,2019-04-12
193,49,24,1,0.00,2019-03-01
194,49,25,2,0.00,2019-03-01
195,49,26,4,0.00,2019-03-01
196,49,27,3,0.00,2019-03-01
197,50,24,1,0.00,2019-03-01
198,50,25,2,0.00,2019-03-01
199,50,26,4,0.00,2019-03-01
200,50,27,3,0.00,2019-03-01
201,51,24,1,0.00,2019-03-01
202,51,25,2,0.00,2019-03-01
203,51,26,4,0.00,2019-03-01
204,51,27,3,0.00,2019-03-01
205,52,24,1,0.00,2019-03-01
206,52,25,2,0.00,2019-03-01
207,52,26,4,0.00,2019-03-01
208,52,27,3,0.00,2019-03-01
209,53,24,1,0.00,2019-03-01
210,53,25,2,0.00,2019-03-01
211,53,26,4,0.00,2019-03-01
212,53,27,3,0.00,2019-03-01
213,54,24,1,0.00,2019-03-01
214,54,25,2,0.00,2019-03-01
215,54,26,4,0.00,2019-03-01
216,54,27,3,0.00,2019-03-01
217,55,24,1,0.00,2019-03-01
218,55,25,2,0.00,2019-03-01
219,55,26,4,0.00,2019-03-01
220,55,27,3,0.00,2019-03-01
221,56,24,1,0.00,2019-03-01
222,56,25,2,0.00,2019-03-01
223,56,26,4,0.00,2019-03-01
224,56,27,3,0.00,2019-03-01
225,57,24,1,0.00,2019-03-01
226,57,25,2,0.00,2019-03-01
227,57,26,4,0.00,2019-03-01
228,57,27,3,0.00,2019-03-01
229,58,24,1,0.00,2019-03-01
230,58,25,2,0.00,2019-03-01
231,58,26,4,0.00,2019-03-01
232,58,27,3,0.00,2019-03-01
233,59,24,1,0.00,2019-03-01
234,59,25,2,0.00,2019-03-01
235,59,26,4,0.00,2019-03-01
236,59,27,3,0.00,2019-03-01
237,60,24,1,0.00,2019-03-01
238,60,25,2,0.00,2019-03-01
239,60,26,4,0.00,2019-03-01
240,60,27,3,0.00,2019-03-01
241,61,24,1,0.00,2019-03-01
242,61,25,2,0.00,2019-03-01
243,61,26,4,0.00,2019-03-01
244,61,27,3,0.00,2019-03-01
245,62,24,1,0.00,2019-03-01
246,62,25,2,0.00,2019-03-01
247,62,26,4,0.00,2019-03-01
248,62,27,3,0.00,2019-03-01
249,63,24,1,0.00,2019-03-01
250,63,25,2,0.00,2019-03-01
251,63,26,4,0.00,2019-03-01
252,63,27,3,0.00,2019-03-01
253,64,24,1,0.00,2019-03-01
254,64,25,2,0.00,2019-03-01
255,64,26,4,0.00,2019-03-01
256,64,27,3,0.00,2019-03-01
257,65,24,1,0.00,2019-03-01
258,65,25,2,0.00,2019-03-01
259,65,26,4,0.00,2019-03-01
260,65,27,3,0.00,2019-03-01
261,66,24,1,0.00,2019-10-09
262,66,25,2,0.00,2019-10-09
263,66,26,4,0.00,2019-10-09
264,66,27,3,0.00,2019-10-09
265,67,24,1,0.00,2019-03-01
266,67,25,2,0.00,2019-03-01
267,67,26,4,0.00,2019-03-01
268,67,27,3,0.00,2019-03-01
269,68,24,1,0.00,2019-03-01
270,68,25,2,0.00,2019-03-01
271,68,26,4,0.00,2019-03-01
272,68,27,3,0.00,2019-03-01
273,69,24,1,0.00,2019-03-01
274,69,25,2,0.00,2019-03-01
275,69,26,4,0.00,2019-03-01
276,69,27,3,0.00,2019-03-01
277,70,24,1,0.00,2019-03-01
278,70,25,2,0.00,2019-03-01
279,70,26,4,0.00,2019-03-01
280,70,27,3,0.00,2019-03-01
281,71,24,1,0.00,2019-03-01
282,71,25,2,0.00,2019-03-01
283,71,26,4,0.00,2019-03-01
284,71,27,3,0.00,2019-03-01
285,72,24,1,0.00,2019-03-01
286,72,25,2,0.00,2019-03-01
287,72,26,4,0.00,2019-03-01
288,72,27,3,0.00,2019-03-01
289,73,24,1,0.00,2019-03-01
290,73,25,2,0.00,2019-03-01
291,73,26,4,0.00,2019-03-01
292,73,27,3,0.00,2019-03-01
293,74,24,1,0.00,2019-03-01
294,74,25,2,0.00,2019-03-01
295,74,26,4,0.00,2019-03-01
296,74,27,3,0.00,2019-03-01
297,75,24,1,0.00,2019-03-01
298,75,25,2,0.00,2019-03-01
299,75,26,4,0.00,2019-03-01
300,75,27,3,0.00,2019-03-01
301,76,24,1,0.00,2019-03-01
302,76,25,2,0.00,2019-03-01
303,76,26,4,0.00,2019-03-01
304,76,27,3,0.00,2019-03-01
305,77,24,1,0.00,2019-03-01
306,77,25,2,0.00,2019-03-01
307,77,26,4,0.00,2019-03-01
308,77,27,3,0.00,2019-03-01
309,78,24,1,0.00,2019-03-01
310,78,25,2,0.00,2019-03-01
311,78,26,4,0.00,2019-03-01
312,78,27,3,0.00,2019-03-01
313,79,24,1,0.00,2019-03-01
314,79,25,2,0.00,2019-03-01
315,79,26,4,0.00,2019-03-01
316,79,27,3,0.00,2019-03-01
317,80,24,1,0.00,2019-03-01
318,80,25,2,0.00,2019-03-01
319,80,26,4,0.00,2019-03-01
320,80,27,3,0.00,2019-03-01
321,81,24,1,0.00,2019-03-01
322,81,25,2,0.00,2019-03-01
323,81,26,4,0.00,2019-03-01
324,81,27,3,0.00,2019-03-01
325,82,24,1,0.00,2019-03-01
326,82,25,2,0.00,2019-03-01
327,82,26,4,0.00,2019-03-01
328,82,27,3,0.00,2019-03-01
329,83,24,1,0.00,2019-03-01
330,83,25,2,0.00,2019-03-01
331,83,26,4,0.00,2019-03-01
332,83,27,3,0.00,2019-03-01
333,84,24,1,0.00,2019-03-01
334,84,25,2,0.00,2019-03-01
335,84,26,4,0.00,2019-03-01
336,84,27,3,0.00,2019-03-01
337,85,24,1,0.00,2019-03-01
338,85,25,2,0.00,2019-03-01
339,85,26,4,0.00,2019-03-01
340,85,27,3,0.00,2019-03-01
341,86,24,1,0.00,2019-03-01
342,86,25,2,0.00,2019-03-01
343,86,26,4,0.00,2019-03-01
344,86,27,3,0.00,2019-03-01
345,87,24,1,0.00,2019-03-01
346,87,25,2,0.00,2019-03-01
347,87,26,4,0.00,2019-03-01
348,87,27,3,0.00,2019-03-01
349,88,24,1,0.00,2019-03-01
350,88,25,2,0.00,2019-03-01
351,88,26,4,0.00,2019-03-01
352,88,27,3,0.00,2019-03-01
353,89,24,1,0.00,2019-03-01
354,89,25,2,0.00,2019-03-01
355,89,26,4,0.00,2019-03-01
356,89,27,3,0.00,2019-03-01
357,90,24,1,0.00,2019-03-01
358,90,25,2,0.00,2019-03-01
359,90,26,4,0.00,2019-03-01
360,90,27,3,0.00,2019-03-01
361,91,24,1,0.00,2019-03-01
362,91,25,2,0.00,2019-03-01
363,91,26,4,0.00,2019-03-01
364,91,27,3,0.00,2019-03-01
365,92,24,1,0.00,2019-03-01
366,92,25,2,0.00,2019-03-01
367,92,26,4,0.00,2019-03-01
368,92,27,3,0.00,2019-03-01
369,93,24,1,0.00,2019-03-01
370,93,25,2,0.00,2019-03-01
371,93,26,4,0.00,2019-03-01
372,93,27,3,0.00,2019-03-01
373,94,24,1,0.00,2019-03-01
374,94,25,2,0.00,2019-03-01
375,94,26,4,0.00,2019-03-01
376,94,27,3,0.00,2019-03-01
377,95,24,1,0.00,2019-03-01
378,95,25,2,0.00,2019-03-01
379,95,26,4,0.00,2019-03-01
380,95,27,3,0.00,2019-03-01
381,96,24,1,0.00,2019-03-01
382,96,25,2,0.00,2019-03-01
383,96,26,4,0.00,2019-03-01
384,96,27,3,0.00,2019-03-01
385,97,24,1,0.00,2019-03-01
386,97,25,2,0.00,2019-03-01
387,97,26,4,0.00,2019-03-01
388,97,27,3,0.00,2019-03-01
389,98,24,1,0.00,2019-03-01
390,98,25,2,0.00,2019-03-01
391,98,26,4,0.00,2019-03-01
392,98,27,3,0.00,2019-03-01
393,99,24,1,0.00,2019-03-01
394,99,25,2,0.00,2019-03-01
395,99,26,4,0.00,2019-03-01
396,99,27,3,0.00,2019-03-01
397,100,24,1,0.00,2019-03-01
398,100,25,2,0.00,2019-03-01
399,100,26,4,0.00,2019-03-01
400,100,27,3,0.00,2019-03-01
401,101,24,1,0.00,2019-03-01
402,101,25,2,0.00,2019-03-01
403,101,26,4,0.00,2019-03-01
404,101,27,3,0.00,2019-03-01
405,102,24,1,0.00,2019-03-01
406,102,25,2,0.00,2019-03-01
407,102,26,4,0.00,2019-03-01
408,102,27,3,0.00,2019-03-01
409,103,24,1,0.00,2019-03-01
410,103,25,2,0.00,2019-03-01
411,103,26,4,0.00,2019-03-01
412,103,27,3,0.00,2019-03-01
413,104,24,1,0.00,2019-09-18
414,104,25,2,0.00,2019-09-18
415,104,26,4,0.00,2019-09-18
416,104,27,3,0.00,2019-09-18
417,105,24,1,0.00,2019-03-01
418,105,25,2,0.00,2019-03-01
419,105,26,4,0.00,2019-03-01
420,105,27,3,0.00,2019-03-01
421,106,24,1,0.00,2019-03-01
422,106,25,2,0.00,2019-03-01
423,106,26,4,0.00,2019-03-01
424,106,27,3,0.00,2019-03-01
425,107,24,1,0.00,2019-03-01
426,107,25,2,0.00,2019-03-01
427,107,26,4,0.00,2019-03-01
428,107,27,3,0.00,2019-03-01
429,108,24,1,0.00,2019-03-01
430,108,25,2,0.00,2019-03-01
431,108,26,4,0.00,2019-03-01
432,108,27,3,0.00,2019-03-01
433,109,24,1,0.00,2019-03-01
434,109,25,2,0.00,2019-03-01
435,109,26,4,0.00,2019-03-01
436,109,27,3,0.00,2019-03-01
437,110,24,1,0.00,2019-03-01
438,110,25,2,0.00,2019-03-01
439,110,26,4,0.00,2019-03-01
440,110,27,3,0.00,2019-03-01
441,111,24,1,0.00,2019-03-01
442,111,25,2,0.00,2019-03-01
443,111,26,4,0.00,2019-03-01
444,111,27,3,0.00,2019-03-01
445,112,24,1,0.00,2019-03-01
446,112,25,2,0.00,2019-03-01
447,112,26,4,0.00,2019-03-01
448,112,27,3,0.00,2019-03-01
449,113,24,1,0.00,2019-03-01
450,113,25,2,0.00,2019-03-01
451,113,26,4,0.00,2019-03-01
452,113,27,3,0.00,2019-03-01
453,114,24,1,0.00,2019-03-01
454,114,25,2,0.00,2019-03-01
455,114,26,4,0.00,2019-03-01
456,114,27,3,0.00,2019-03-01
457,115,24,1,0.00,2019-03-01
458,115,25,2,0.00,2019-03-01
459,115,26,4,0.00,2019-03-01
460,115,27,3,0.00,2019-03-01
461,116,24,1,0.00,2019-03-01
462,116,25,2,0.00,2019-03-01
463,116,26,4,0.00,2019-03-01
464,116,27,3,0.00,2019-03-01
465,117,24,1,0.00,2019-03-01
466,117,25,2,0.00,2019-03-01
467,117,26,4,0.00,2019-03-01
468,117,27,3,0.00,2019-03-01
469,118,24,1,0.00,2019-03-01
470,118,25,2,0.00,2019-03-01
471,118,26,4,0.00,2019-03-01
472,118,27,3,0.00,2019-03-01
473,119,24,1,0.00,2019-03-01
474,119,25,2,0.00,2019-03-01
475,119,26,4,0.00,2019-03-01
476,119,27,3,0.00,2019-03-01
477,120,24,1,0.00,2019-07-11
478,120,25,2,0.00,2019-07-11
479,120,26,4,0.00,2019-07-11
480,120,27,3,0.00,2019-07-11
481,121,24,1,0.00,2019-03-01
482,121,25,2,0.00,2019-03-01
483,121,26,4,0.00,2019-03-01
484,121,27,3,0.00,2019-03-01
485,122,24,1,0.00,2019-03-01
486,122,25,2,0.00,2019-03-01
487,122,26,4,0.00,2019-03-01
488,122,27,3,0.00,2019-03-01
489,123,24,1,0.00,2019-03-01
490,123,25,2,0.00,2019-03-01
491,123,26,4,0.00,2019-03-01
492,123,27,3,0.00,2019-03-01
493,124,24,1,0.00,2019-03-01
494,124,25,2,0.00,2019-03-01
495,124,26,4,0.00,2019-03-01
496,124,27,3,0.00,2019-03-01
497,125,24,1,0.00,2019-03-01
498,125,25,2,0.00,2019-03-01
499,125,26,4,0.00,2019-03-01
500,125,27,3,0.00,2019-03-01
501,126,24,1,0.00,2019-03-01
502,126,25,2,0.00,2019-03-01
503,126,26,4,0.00,2019-03-01
504,126,27,3,0.00,2019-03-01
505,127,24,1,0.00,2019-03-01
506,127,25,2,0.00,2019-03-01
507,127,26,4,0.00,2019-03-01
508,127,27,3,0.00,2019-03-01
509,128,24,1,0.00,2019-03-01
510,128,25,2,0.00,2019-03-01
511,128,26,4,0.00,2019-03-01
512,128,27,3,0.00,2019-03-01
513,129,24,1,0.00,2019-03-01
514,129,25,2,0.00,2019-03-01
515,129,26,4,0.00,2019-03-01
516,129,27,3,0.00,2019-03-01
517,130,24,1,0.00,2019-03-01
518,130,25,2,0.00,2019-03-01
519,130,26,4,0.00,2019-03-01
520,130,27,3,0.00,2019-03-01
521,131,24,1,0.00,2019-03-01
522,131,25,2,0.00,2019-03-01
523,131,26,4,0.00,2019-03-01
524,131,27,3,0.00,2019-03-01
525,132,24,1,0.00,2019-03-01
526,132,25,2,0.00,2019-03-01
527,132,26,4,0.00,2019-03-01
528,132,27,3,0.00,2019-03-01
529,133,24,1,0.00,2019-03-01
530,133,25,2,0.00,2019-03-01
531,133,26,4,0.00,2019-03-01
532,133,27,3,0.00,2019-03-01
533,134,24,1,0.00,2019-03-01
534,134,25,2,0.00,2019-03-01
535,134,26,4,0.00,2019-03-01
536,134,27,3,0.00,2019-03-01
537,135,24,1,0.00,2019-03-01
538,135,25,2,0.00,2019-03-01
539,135,26,4,0.00,2019-03-01
540,135,27,3,0.00,2019-03-01
541,136,24,1,0.00,2019-03-01
542,136,25,2,0.00,2019-03-01
543,136,26,4,0.00,2019-03-01
544,136,27,3,0.00,2019-03-01
545,137,24,1,0.00,2019-03-01
546,137,25,2,0.00,2019-03-01
547,137,26,4,0.00,2019-03-01
548,137,27,3,0.00,2019-03-01
549,138,24,1,0.00,2019-03-01
550,138,25,2,0.00,2019-03-01
551,138,26,4,0.00,2019-03-01
552,138,27,3,0.00,2019-03-01
553,139,24,1,0.00,2019-03-01
554,139,25,2,0.00,2019-03-01
555,139,26,4,0.00,2019-03-01
556,139,27,3,0.00,2019-03-01
557,140,24,1,0.00,2019-03-01
558,140,25,2,0.00,2019-03-01
559,140,26,4,0.00,2019-03-01
560,140,27,3,0.00,2019-03-01
561,141,24,1,0.00,2019-03-01
562,141,25,2,0.00,2019-03-01
563,141,26,4,0.00,2019-03-01
564,141,27,3,0.00,2019-03-01
565,142,24,1,0.00,2019-03-01
566,142,25,2,0.00,2019-03-01
567,142,26,4,0.00,2019-03-01
568,142,27,3,0.00,2019-03-01
569,143,24,1,0.00,2019-03-01
570,143,25,2,0.00,2019-03-01
571,143,26,4,0.00,2019-03-01
572,143,27,3,0.00,2019-03-01
573,144,24,1,0.00,2019-03-01
574,144,25,2,0.00,2019-03-01
575,144,26,4,0.00,2019-03-01
576,144,27,3,0.00,2019-03-01
577,145,24,1,0.00,2019-03-01
578,145,25,2,0.00,2019-03-01
579,145,26,4,0.00,2019-03-01
580,145,27,3,0.00,2019-03-01
581,146,24,1,0.00,2019-03-01
582,146,25,2,0.00,2019-03-01
583,146,26,4,0.00,2019-03-01
584,146,27,3,0.00,2019-03-01
585,147,24,1,0.00,2019-03-01
586,147,25,2,0.00,2019-03-01
587,147,26,4,0.00,2019-03-01
588,147,27,3,0.00,2019-03-01
589,148,24,1,0.00,2019-03-01
590,148,25,2,0.00,2019-03-01
591,148,26,4,0.00,2019-03-01
592,148,27,3,0.00,2019-03-01
593,149,24,1,0.00,2019-03-01
594,149,25,2,0.00,2019-03-01
595,149,26,4,0.00,2019-03-01
596,149,27,3,0.00,2019-03-01
597,150,24,1,0.00,2019-03-01
598,150,25,2,0.00,2019-03-01
599,150,26,4,0.00,2019-03-01
600,150,27,3,0.00,2019-03-01
601,151,24,1,0.00,2019-03-01
602,151,25,2,0.00,2019-03-01
603,151,26,4,0.00,2019-03-01
604,151,27,3,0.00,2019-03-01
605,152,24,1,0.00,2019-03-01
606,152,25,2,0.00,2019-03-01
607,152,26,4,0.00,2019-03-01
608,152,27,3,0.00,2019-03-01
609,153,24,1,0.00,2019-03-01
610,153,25,2,0.00,2019-03-01
611,153,26,4,0.00,2019-03-01
612,153,27,3,0.00,2019-03-01
613,154,24,1,0.00,2019-03-01
614,154,25,2,0.00,2019-03-01
615,154,26,4,0.00,2019-03-01
616,154,27,3,0.00,2019-03-01
617,155,24,1,0.00,2019-09-08
618,155,25,2,0.00,2019-09-08
619,155,26,4,0.00,2019-09-08
620,155,27,3,0.00,2019-09-08
621,156,24,1,0.00,2019-03-01
622,156,25,2,0.00,2019-03-01
623,156,26,4,0.00,2019-03-01
624,156,27,3,0.00,2019-03-01
625,157,24,1,0.00,2019-03-01
626,157,25,2,0.00,2019-03-01
627,157,26,4,0.00,2019-03-01
628,157,27,3,0.00,2019-03-01
629,158,24,1,0.00,2019-03-03
630,158,25,2,0.00,2019-03-03
631,158,26,4,0.00,2019-03-03
632,158,27,3,0.00,2019-03-03
633,159,24,1,0.00,2019-03-03
634,159,25,2,0.00,2019-03-03
635,159,26,4,0.00,2019-03-03
636,159,27,3,0.00,2019-03-03
637,160,24,1,0.00,2019-03-03
638,160,25,2,0.00,2019-03-03
639,160,26,4,0.00,2019-03-03
640,160,27,3,0.00,2019-03-03
641,161,24,1,0.00,2019-03-03
642,161,25,2,0.00,2019-03-03
643,161,26,4,0.00,2019-03-03
644,161,27,3,0.00,2019-03-03
645,162,24,1,0.00,2019-03-03
646,162,25,2,0.00,2019-03-03
647,162,26,4,0.00,2019-03-03
648,162,27,3,0.00,2019-03-03
649,163,24,1,0.00,2019-03-03
650,163,25,2,0.00,2019-03-03
651,163,26,4,0.00,2019-03-03
652,163,27,3,0.00,2019-03-03
653,164,24,1,0.00,2019-03-03
654,164,25,2,0.00,2019-03-03
655,164,26,4,0.00,2019-03-03
656,164,27,3,0.00,2019-03-03
657,165,24,1,0.00,2019-04-01
658,165,25,2,0.00,2019-04-01
659,165,26,4,0.00,2019-04-01
660,165,27,3,0.00,2019-04-01
661,166,24,1,0.00,2019-03-18
662,166,25,2,0.00,2019-03-18
663,166,26,4,0.00,2019-03-18
664,166,27,3,0.00,2019-03-18
665,167,24,1,0.00,2019-03-18
666,167,25,2,0.00,2019-03-18
667,167,26,4,0.00,2019-03-18
668,167,27,3,0.00,2019-03-18
669,168,24,1,0.00,2019-04-15
670,168,25,2,0.00,2019-04-15
671,168,26,4,0.00,2019-04-15
672,168,27,3,0.00,2019-04-15
673,169,24,1,0.00,2019-04-15
674,169,25,2,0.00,2019-04-15
675,169,26,4,0.00,2019-04-15
676,169,27,3,0.00,2019-04-15
677,170,24,1,0.00,2019-04-15
678,170,25,2,0.00,2019-04-15
679,170,26,4,0.00,2019-04-15
680,170,27,3,0.00,2019-04-15
681,171,24,1,0.00,2019-04-01
682,171,25,2,0.00,2019-04-01
683,171,26,4,0.00,2019-04-01
684,171,27,3,0.00,2019-04-01
685,172,24,1,0.00,2019-05-15
686,172,25,2,0.00,2019-05-15
687,172,26,4,0.00,2019-05-15
688,172,27,3,0.00,2019-05-15
689,173,24,1,0.00,2019-10-25
690,173,25,2,0.00,2019-10-25
691,173,26,4,0.00,2019-10-25
692,173,27,3,0.00,2019-10-25
693,174,24,1,0.00,2019-09-06
694,174,25,2,0.00,2019-09-06
695,174,26,4,0.00,2019-09-06
696,174,27,3,0.00,2019-09-06
697,175,24,1,0.00,2019-05-02
698,175,25,2,0.00,2019-05-02
699,175,26,4,0.00,2019-05-02
700,175,27,3,0.00,2019-05-02
701,176,24,1,0.00,2019-05-02
702,176,25,2,0.00,2019-05-02
703,176,26,4,0.00,2019-05-02
704,176,27,3,0.00,2019-05-02
705,177,24,1,0.00,2019-05-02
706,177,25,2,0.00,2019-05-02
707,177,26,4,0.00,2019-05-02
708,177,27,3,0.00,2019-05-02
709,178,24,1,0.00,2019-06-16
710,178,25,2,0.00,2019-06-16
711,178,26,4,0.00,2019-06-16
712,178,27,3,0.00,2019-06-16
713,179,24,1,0.00,2019-06-16
714,179,25,2,0.00,2019-06-16
715,179,26,4,0.00,2019-06-16
716,179,27,3,0.00,2019-06-16
717,180,24,1,0.00,2019-07-01
718,180,25,2,0.00,2019-07-01
719,180,26,4,0.00,2019-07-01
720,180,27,3,0.00,2019-07-01
721,181,24,1,0.00,2019-07-01
722,181,25,2,0.00,2019-07-01
723,181,26,4,0.00,2019-07-01
724,181,27,3,0.00,2019-07-01
725,182,24,1,0.00,2019-07-15
726,182,25,2,0.00,2019-07-15
727,182,26,4,0.00,2019-07-15
728,182,27,3,0.00,2019-07-15
729,183,24,1,0.00,2019-09-12
730,183,25,2,0.00,2019-09-12
731,183,26,4,0.00,2019-09-12
732,183,27,3,0.00,2019-09-12
